id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1427996838683099137,1427996838683099137,2021-08-18 17:12:31 Turkey Standard Time,2021-08-18,17:12:31,+0300,1349438293713313793,omerokcux,ÖMER OKCU 🇹🇷🇵🇸,,@herkesicinCHP artık ABD de sizi yalanlamaya başladı 😂😂,tr,[],[],[],0,0,0,[],[],https://twitter.com/omerokcux/status/1427996838683099137,False,https://twitter.com/eha_medya/status/1427881337646731265,0,,,,,,,,[],,,,
1427996734584758273,1427937194904276997,2021-08-18 17:12:07 Turkey Standard Time,2021-08-18,17:12:07,+0300,1410304666664157192,mavigozruzgar,Rüzgar Mavigöz,,@herkesicinCHP O zaman seçimlerde hdp ile ittifak etmemelisiniz.Yoksa bu inandırıcı olmaz.,tr,[],[],[],0,0,0,[],[],https://twitter.com/MavigozRuzgar/status/1427996734584758273,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427996637683765257,1427937194904276997,2021-08-18 17:11:43 Turkey Standard Time,2021-08-18,17:11:43,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP CHP sınır Namustur demiş..!  https://t.co/Gf8Yd53RaA,tr,[],[],['https://pbs.twimg.com/media/E9FDX6pX0AYAKEX.jpg'],0,0,0,[],[],https://twitter.com/SungurogIu/status/1427996637683765257,False,,1,https://pbs.twimg.com/media/E9FDX6pX0AYAKEX.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427996601050611713,1427950068619833344,2021-08-18 17:11:35 Turkey Standard Time,2021-08-18,17:11:35,+0300,1386659162940182531,polat_hekimoglu,Mustafa KAYNAK 🇹🇷,,"@herkesicinCHP Onların 20-25 yılda yapamayıp, @ekrem_imamoglu beyin 1 yılda yaptığı şeyi anlayamadım, sayın genel başkan⁉️ne yaptı ❓  https://t.co/044tyHGdw8",tr,"[{'screen_name': 'ekrem_imamoglu', 'name': 'ekrem i̇mamoğlu', 'id': '422861505'}]",[],[],0,0,0,[],[],https://twitter.com/polat_hekimoglu/status/1427996601050611713,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1427996482268012544/pu/img/70tHLP61xHL2ETb4.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427996471618592781,1427937194904276997,2021-08-18 17:11:04 Turkey Standard Time,2021-08-18,17:11:04,+0300,190602211,sahincangngr06,Şahin Başkan🇹🇷,,@herkesicinCHP Aynen haklısınız. Sınır NAMUSTUR.  https://t.co/NgqXZEvBti,tr,[],[],['https://pbs.twimg.com/media/E9FDOR4WUAElZag.jpg'],0,0,0,[],[],https://twitter.com/sahincangngr06/status/1427996471618592781,False,,1,https://pbs.twimg.com/media/E9FDOR4WUAElZag.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427996292123398151,1427937194904276997,2021-08-18 17:10:21 Turkey Standard Time,2021-08-18,17:10:21,+0300,1320849963602055173,muhamme56288924,Muhammed Emin,,@herkesicinCHP ULAN MADEM SINIR NAMUSTUR NIYE HER TESKEREYE OLUR DIYORSUNUZ. SIZINKI NAMUSTA BASKASININ BENAMUS MU. AMK SAHTE SOSYAL FAŞÎSTLERİ.,tr,[],[],[],0,0,0,[],[],https://twitter.com/Muhamme56288924/status/1427996292123398151,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995825402261510,1427937194904276997,2021-08-18 17:08:30 Turkey Standard Time,2021-08-18,17:08:30,+0300,959928646818500608,alper8379,Alper Eski,,@herkesicinCHP PKK geçince namus olmuyor muydu?,tr,[],[],[],0,0,0,[],[],https://twitter.com/Alper8379/status/1427995825402261510,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995735279251457,1427937194904276997,2021-08-18 17:08:08 Turkey Standard Time,2021-08-18,17:08:08,+0300,1377732611766902793,bekirs34,Bekir’s,,@herkesicinCHP Ee partideki kadınlarınıza sahip çıkın ilk önce. Taciz tecavüz de kimseye bayrağı kaptırmıyorsunuz. Sınırımızı Mehmedim koruyor…,tr,[],[],[],0,0,0,[],[],https://twitter.com/bekirs34/status/1427995735279251457,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995624105029633,1427937194904276997,2021-08-18 17:07:42 Turkey Standard Time,2021-08-18,17:07:42,+0300,2341219337,aoezdoene,ali oezdoene 🌈,,@herkesicinCHP Bugüne kadar nerdeydiniz?😴😴😴,tr,[],[],[],0,0,0,[],[],https://twitter.com/AOezdoene/status/1427995624105029633,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995467674267664,1427937194904276997,2021-08-18 17:07:05 Turkey Standard Time,2021-08-18,17:07:05,+0300,465684628,medyaadami,medya adamı,,@herkesicinCHP “PYD’ye terör örgütü değil” diyenlerin terör örgütü PYD’nin kökünü kazıyanlara hudut dersi vermeye kalktığı ülke.  CHP utanmazlığın arsızlığın merkezidir!    https://t.co/wk5QJ79jBk,tr,[],[],[],0,1,1,[],[],https://twitter.com/medyaadami/status/1427995467674267664,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1380219866305683458/pu/img/pyJn2Q-pLHHiiJk9.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995433947832321,1427937194904276997,2021-08-18 17:06:56 Turkey Standard Time,2021-08-18,17:06:56,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP  https://t.co/t2LS5Z53rE,und,[],[],"['https://pbs.twimg.com/media/E9FCROYXoAQO2Yl.jpg', 'https://pbs.twimg.com/media/E9FCR1YWQAkO8FT.jpg']",0,0,0,[],[],https://twitter.com/SungurogIu/status/1427995433947832321,False,,1,https://pbs.twimg.com/media/E9FCROYXoAQO2Yl.jpg,,,,,,,[],,,,
1427995392130625545,1427937194904276997,2021-08-18 17:06:47 Turkey Standard Time,2021-08-18,17:06:47,+0300,1370249014524968964,hakanarslan305,Hakan Arslan,,@herkesicinCHP Bu lafida uzaylılar söyledi öylemi  https://t.co/CoMIGkIYlF,tr,[],[],['https://pbs.twimg.com/media/E9FCOnHWQAwSRnc.jpg'],0,0,0,[],[],https://twitter.com/hakanarslan305/status/1427995392130625545,False,,1,https://pbs.twimg.com/media/E9FCOnHWQAwSRnc.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427995273192775687,1427937194904276997,2021-08-18 17:06:18 Turkey Standard Time,2021-08-18,17:06:18,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP  https://t.co/tKxvrfpvOk,und,[],[],['https://pbs.twimg.com/media/E9FCIdRXMAM4NCa.jpg'],0,0,0,[],[],https://twitter.com/SungurogIu/status/1427995273192775687,False,,1,https://pbs.twimg.com/media/E9FCIdRXMAM4NCa.jpg,,,,,,,[],,,,
1427995088400130054,1427937194904276997,2021-08-18 17:05:34 Turkey Standard Time,2021-08-18,17:05:34,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP  https://t.co/jVNjKo6Tw2,und,[],[],['https://pbs.twimg.com/media/E9FB9vZXMAY47Om.jpg'],0,0,0,[],[],https://twitter.com/SungurogIu/status/1427995088400130054,False,,1,https://pbs.twimg.com/media/E9FB9vZXMAY47Om.jpg,,,,,,,[],,,,
1427995003444412421,1427937194904276997,2021-08-18 17:05:14 Turkey Standard Time,2021-08-18,17:05:14,+0300,1488147882,51mustafayigit,QMXY,,@herkesicinCHP Allah belanı versin kemal,tr,[],[],[],0,0,0,[],[],https://twitter.com/51mustafayigit/status/1427995003444412421,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994928722948105,1427937194904276997,2021-08-18 17:04:56 Turkey Standard Time,2021-08-18,17:04:56,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP  https://t.co/OpLAEjlIxA,und,[],[],['https://pbs.twimg.com/media/E9FB0cqXoA80Eoj.jpg'],0,0,0,[],[],https://twitter.com/SungurogIu/status/1427994928722948105,False,,1,https://pbs.twimg.com/media/E9FB0cqXoA80Eoj.jpg,,,,,,,[],,,,
1427994846405529610,1427937194904276997,2021-08-18 17:04:36 Turkey Standard Time,2021-08-18,17:04:36,+0300,471483387,hbpdyr,HabipDuyar,,@herkesicinCHP Burası kimin sarayı?,tr,[],[],[],0,0,0,[],[],https://twitter.com/hbpdyr/status/1427994846405529610,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994722044420101,1427937194904276997,2021-08-18 17:04:07 Turkey Standard Time,2021-08-18,17:04:07,+0300,1207308962296713216,ulunca___1071,TÜRKÜN TÜRKÜSÜ 🇹🇷,,@herkesicinCHP Ar namus tertemiz...,in,[],[],[],0,0,0,[],[],https://twitter.com/ulunca___1071/status/1427994722044420101,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994634798698500,1427937194904276997,2021-08-18 17:03:46 Turkey Standard Time,2021-08-18,17:03:46,+0300,1340796931530997761,hayta07190418,ö z e r,,"@herkesicinCHP Porno, Tecavüz ve sex partisi olan bu kurumun "" NAMUS "" derken ne demek istiyor acep....",tr,[],[],[],0,0,0,[],[],https://twitter.com/Hayta07190418/status/1427994634798698500,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994349837688834,1427937194904276997,2021-08-18 17:02:38 Turkey Standard Time,2021-08-18,17:02:38,+0300,3021163132,palason5,Alper Palason,,@herkesicinCHP #SINIRNAMUSTUR,und,[],[],[],0,0,0,['sinirnamustur'],[],https://twitter.com/Palason5/status/1427994349837688834,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994261652393984,1427937194904276997,2021-08-18 17:02:17 Turkey Standard Time,2021-08-18,17:02:17,+0300,1110660186623102976,sungurogiu,Sunguroğlu,,@herkesicinCHP CHPKK HDPKK  https://t.co/88S5RwY2BG,tr,[],[],"['https://pbs.twimg.com/media/E9FBMMWXMAI92Ik.jpg', 'https://pbs.twimg.com/media/E9FBMqNWYAAjiJf.jpg', 'https://pbs.twimg.com/media/E9FBNOkWQAQYVBw.jpg', 'https://pbs.twimg.com/media/E9FBNngWQAMwJy5.jpg']",0,0,0,[],[],https://twitter.com/SungurogIu/status/1427994261652393984,False,,1,https://pbs.twimg.com/media/E9FBMMWXMAI92Ik.jpg,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994227670142976,1427937194904276997,2021-08-18 17:02:09 Turkey Standard Time,2021-08-18,17:02:09,+0300,1254901990427185152,opolat49,onur polat,,"@herkesicinCHP 40 yıldır sınırımızdan sızıp kanımızı döken PKK’nın siyasi uzantısı HDP ile dost olanların, sınır namustur demesi düşündürücü!!!",tr,[],[],[],0,0,0,[],[],https://twitter.com/opolat49/status/1427994227670142976,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994130131689477,1427937194904276997,2021-08-18 17:01:46 Turkey Standard Time,2021-08-18,17:01:46,+0300,3499495757,__kahhar__,Faruk Turan,,@herkesicinCHP Sınır namustur  Peki ege trakya ve akdeniz kıyılarında yaşayanların çoğu türk değil gökten zembille inmedilerse bu ülkeye nasıl girdiler bu yabancılar,tr,[],[],[],0,0,0,[],[],https://twitter.com/__KAHHAR__/status/1427994130131689477,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427994058706886660,1427937194904276997,2021-08-18 17:01:29 Turkey Standard Time,2021-08-18,17:01:29,+0300,1417063148016787458,selocanbobocan1,Selocanbobocan,,@herkesicinCHP Hayat chpkk'nın namustan bahsetmesi kadar saçma,tr,[],[],[],0,0,0,[],[],https://twitter.com/Selocanbobocan1/status/1427994058706886660,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427993896877973511,1427937194904276997,2021-08-18 17:00:50 Turkey Standard Time,2021-08-18,17:00:50,+0300,1328649448491261952,altunlu_tr,Abdullah Taha 🇹🇷,,@herkesicinCHP Ülkesini şikayet eden namussuzlardan öğrenecek değiliz!,tr,[],[],[],0,0,0,[],[],https://twitter.com/altunlu_tr/status/1427993896877973511,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427993873947713540,1427937194904276997,2021-08-18 17:00:45 Turkey Standard Time,2021-08-18,17:00:45,+0300,1409134311404679173,dalegendsultan,legend Sultan,,@herkesicinCHP Tecavüz vakalar gibi diyorsunuz...popülizm çocuklar..m,tr,[],[],[],0,0,0,[],[],https://twitter.com/DalegendSultan/status/1427993873947713540,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427993864988774404,1427993864988774404,2021-08-18 17:00:42 Turkey Standard Time,2021-08-18,17:00:42,+0300,1420881416582270987,cem19580787,Cem,,"@herkesicinCHP liler @iyiparti liler ""HUDUT NAMUSTUR"" diyor ya şimdi troll dayılar/teyzeler kesinlikle tersini savunacaklar. Değil mi @birincimucahit @zekibahce @AlcayirCengiz @cemkucuk55 @Nagehanalci @hilal_kaplan @zafersahin06 @abdulkdir_selvi ?",tr,"[{'screen_name': 'iyiparti', 'name': 'i̇yi̇ parti', 'id': '902503200728731649'}, {'screen_name': 'birincimucahit', 'name': 'mücahit birinci', 'id': '3388641497'}, {'screen_name': 'zekibahce', 'name': 'zeki bahçe', 'id': '70491947'}, {'screen_name': 'alcayircengiz', 'name': 'cengiz alçayır', 'id': '4075965448'}, {'screen_name': 'cemkucuk55', 'name': 'cem küçük', 'id': '70025554'}, {'screen_name': 'nagehanalci', 'name': 'nagehan alci', 'id': '130593486'}, {'screen_name': 'hilal_kaplan', 'name': 'hilâl kaplan', 'id': '99535301'}, {'screen_name': 'zafersahin06', 'name': 'zafer şahin', 'id': '191167408'}, {'screen_name': 'abdulkdir_selvi', 'name': 'abdulkadir selvi', 'id': '270900025'}]",[],[],0,0,0,[],[],https://twitter.com/Cem19580787/status/1427993864988774404,False,,0,,,,,,,,[],,,,
1427993828900941825,1427937194904276997,2021-08-18 17:00:34 Turkey Standard Time,2021-08-18,17:00:34,+0300,1414168384489594881,muhalifatatrk1,Muhalif Atatürkçü,,@herkesicinCHP Aytuğ tekrar sakal bıraksın taliban tiplerine benziyordu belki koordinasyonu sağlar aranızda.Zaten başkada bir işe yaramaz,tr,[],[],[],0,0,0,[],[],https://twitter.com/MuhalifAtatrk1/status/1427993828900941825,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
1427993524021219331,1427937194904276997,2021-08-18 16:59:21 Turkey Standard Time,2021-08-18,16:59:21,+0300,1426098644802056194,kizhakiki,Hakikati yazan kiz,,@herkesicinCHP Namusunuza kast eden pkk ile aynı yatağa giriyorsunuz o nasıl olacak?,tr,[],[],[],0,0,0,[],[],https://twitter.com/KizHakiki/status/1427993524021219331,False,,0,,,,,,,,"[{'screen_name': 'herkesicinCHP', 'name': 'CHP 🇹🇷', 'id': '255515879'}]",,,,
