id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1427993578823901188,1427993578823901188,2021-08-18 16:59:34 Turkey Standard Time,2021-08-18,16:59:34,+0300,1396801532285407233,ne_meyra,Necati Aydın,,@iyiparti tercihinizi yazarmısınız? Selo mu? Reis mi  ?,tr,[],[],[],0,0,1,[],[],https://twitter.com/Ne_meyra/status/1427993578823901188,False,https://twitter.com/Jasmin_571_632/status/1427950456899264518,0,,,,,,,,[],,,,
1427991227522236423,1427986951760662537,2021-08-18 16:50:14 Turkey Standard Time,2021-08-18,16:50:14,+0300,1323921070102073345,mirac11357088,Mirac.,,@iyiparti Bu katılmıştır güveniyorlarmış,tr,[],[],[],0,0,0,[],[],https://twitter.com/Mirac11357088/status/1427991227522236423,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427990181051764738,1427986951760662537,2021-08-18 16:46:04 Turkey Standard Time,2021-08-18,16:46:04,+0300,1235135900004356096,metinef15407612,Metin Efe🇹🇷,,@iyiparti 15.Temmuz da Başbakan olacağım diye anıran Fetocü teröristler,tr,[],[],[],0,0,0,[],[],https://twitter.com/MetinEf15407612/status/1427990181051764738,False,https://twitter.com/kanlinevzat35/status/1427983485449515008,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427989688472723458,1427986951760662537,2021-08-18 16:44:07 Turkey Standard Time,2021-08-18,16:44:07,+0300,751435819882250240,ugur_cakmakoglu,ugur çakmakoğlu,,"@iyiparti 1 peker hükümeti salladı, 10 bin prker ne yapar??? Tek çara GİZLİ TANIK PROJESİ. Kanunu genişletip devlete tanık belgeli ve bilgi olarak ne kazandırdıysa %10 pirim gerekirse af olması şart bu millet paradan anlar.Yalancıyada 2 misli ceza. Mualefet seçim tahüdünde bulunması şart.",tr,[],[],[],0,0,0,[],[],https://twitter.com/ugur_cakmakoglu/status/1427989688472723458,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427988941131722767,1427986951760662537,2021-08-18 16:41:08 Turkey Standard Time,2021-08-18,16:41:08,+0300,1251983915314745344,starbjk_34,ABjk34,,"@iyiparti Bu ne yaa,. Gezmekte olmuyor, millete çözüm sun.",tr,[],[],[],1,0,0,[],[],https://twitter.com/StarBjk_34/status/1427988941131722767,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427987324315574279,1427986951760662537,2021-08-18 16:34:43 Turkey Standard Time,2021-08-18,16:34:43,+0300,1409429161555415040,burak43111,Nadir,,@iyiparti Sen akdenizde gez apla anadolu sana fazla velir bak nasil olayi cözmüs hemen istikamet değistirmisin😂😂😂 15 temmuz basbakanini anadolu kovalar,tr,[],[],[],0,0,0,[],[],https://twitter.com/Burak43111/status/1427987324315574279,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427987083705135108,1427987083705135108,2021-08-18 16:33:46 Turkey Standard Time,2021-08-18,16:33:46,+0300,56085746,ejderizm,🐲,,@iyiparti @meral_aksener gereği yapılır umarım. Yoksa sizde o saatte neden oradaydıncımısınız?,tr,"[{'screen_name': 'meral_aksener', 'name': 'meral akşener', 'id': '590346965'}]",[],[],0,0,0,[],[],https://twitter.com/EjDeRizM/status/1427987083705135108,False,https://twitter.com/bpthaber/status/1427972987131682825,0,,,,,,,,[],,,,
1427986639985512451,1427952950425661444,2021-08-18 16:32:00 Turkey Standard Time,2021-08-18,16:32:00,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,@iyiparti Meral Akşener bu videodan ibarettir Daha fazlası değil Milliyetçiliği de maske yurtseverliği de maske İnanıyorum ki gerçek MİLLİYETÇİLER olarak bu şahsı zihniyetini ve partisini siyasetten tasfiye edeceğiz  https://t.co/qhwadwFaC9,tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427986639985512451,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1411596497523773442/pu/img/c6t7TKNII-11Q8tC.jpg,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427985182733344776,1427981400242888704,2021-08-18 16:26:12 Turkey Standard Time,2021-08-18,16:26:12,+0300,989486378,fikret_vural,Fikret Vural,,@iyiparti Teyzem ne bilsin Fetönün Donunu kucakladığını.,tr,[],[],[],0,0,0,[],[],https://twitter.com/fikret_vural/status/1427985182733344776,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427983587404656642,1427981400242888704,2021-08-18 16:19:52 Turkey Standard Time,2021-08-18,16:19:52,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,"@iyiparti ""Millet bizi çağırıyor.""  HDP ye bastonluk yaptığınız için millet her yerde tepki gösteriyor Gerçekleri duyunca da şiddet hakaret ve beddua ile karşılık veriyorsunuz  Sizi millet çağırmıyor O kadar berbatsınız ki Selahattin Demirtaş kahvaltıya çağırıyor  https://t.co/tLRJc1Ytm7",tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427983587404656642,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1425332995809058818/pu/img/5QpBoPG-jnmGMTtY.jpg,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427983485449515008,1427981400242888704,2021-08-18 16:19:28 Turkey Standard Time,2021-08-18,16:19:28,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,"@iyiparti 15 Temmuz şehidinin ağabeyi MERALİ yerden yere vuruyor ve 15 Temmuz dan önce başbakan olacağım dediniz Bunun açıklamasını yapın."" diyor.  MERAL kelime oyunuyla ""Öyle bir sözüm yok"" yanıtını veriyor  ""Yurtta sulh, ben başbakan olacağım"" diyen şu şahıs kim?  https://t.co/apWvrc7aOU",tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427983485449515008,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1421103253681491971/pu/img/FDtd6JR3e1FUf19x.jpg,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427983346831925248,1427981400242888704,2021-08-18 16:18:55 Turkey Standard Time,2021-08-18,16:18:55,+0300,3227388127,mstkrgz1,Mustafa KARA,,@iyiparti virüs sarılanlara bulaşmıyor sanırım .biz boşuna eziyet çekiyoruz.,tr,[],[],[],0,0,0,[],[],https://twitter.com/mstkrgz1/status/1427983346831925248,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427983274274607107,1427981400242888704,2021-08-18 16:18:37 Turkey Standard Time,2021-08-18,16:18:37,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,"@iyiparti ""SİZ HDP İLE BİR OLDUNUZ""  ULAN BEN KİMİM ?   MERAL APLA MİLLET SENİN KİM OLDU  ĞUNU ÇOK İYİ BİLİYOR MİLLET SENİN   NOTUNU VERDİ  EN SON PKK LI DENDİ   DİYOR MERAL ESNAFTA EVETİ HEMEN   YAPIŞTIRIYOR DÜMDÜK SURATINA  https://t.co/1oUFMidg0q",tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427983274274607107,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1422897147746394117/pu/img/tyR7xsdkwYRteWsL.jpg,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427982962277109768,1427981400242888704,2021-08-18 16:17:23 Turkey Standard Time,2021-08-18,16:17:23,+0300,1409429161555415040,burak43111,Nadir,,@iyiparti Senin 15 temmuzda basbakan olcana inandimiydilar sordunmu,tr,[],[],[],0,0,1,[],[],https://twitter.com/Burak43111/status/1427982962277109768,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427982680826728450,1427982680826728450,2021-08-18 16:16:16 Turkey Standard Time,2021-08-18,16:16:16,+0300,1337051606383284227,snelanit,tivitir uçurur,,@iyiparti reziller,ht,[],[],[],0,0,0,[],[],https://twitter.com/Snelanit/status/1427982680826728450,False,https://twitter.com/eha_medya/status/1427963388584472579,0,,,,,,,,[],,,,
1427982566175485958,1427981400242888704,2021-08-18 16:15:49 Turkey Standard Time,2021-08-18,16:15:49,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,@iyiparti Millet bizi çağırıyor diyerek şehir şehir gezen Akşener Bayburt ta Recep Tayyip Erdoğan sloganlarıyla karşılanınca bu kez de Bayburt esnafını dövdürmüş korumalarına  Bu kadın neredeyse MHP yi ele getirecekti Düşünsenize gittiği her yerde ülkücü gençleri sokağa döktüğünü,tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427982566175485958,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427982463872258049,1427981400242888704,2021-08-18 16:15:24 Turkey Standard Time,2021-08-18,16:15:24,+0300,1287461571069870083,kanlinevzat35,İZMİRLİ LAİK BÜKÜCÜ,,@iyiparti TİYATRO  İP Genel Başkanı Akşener'in Erzurum ziyareti sırasında “geçinemiyoruz” diyen gencin İyi Parti teşkilatı üyesi olduğu ve Kars'tan araçla alınıp getirildiği ortaya çıktı.  Gencin babası oğlunun algı oyununa dahil edilmesine tepki göstermiş    https://t.co/Gc0QUmuI0O,tr,[],[],[],0,0,0,[],[],https://twitter.com/KANLINEVZAT35/status/1427982463872258049,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1426569545641299968/pu/img/JwkZRCRiPj6_O9Ng.jpg,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}]",,,,
1427980955730522116,1427980955730522116,2021-08-18 16:09:25 Turkey Standard Time,2021-08-18,16:09:25,+0300,1006442659,muhammettokat48,Av. Muhammet Tokat,,"@iyiparti Genel Başkanı Sayın @meral_aksener ’i bugün yangından en çok etkilenen bölgelerden biri olan #Gökbel mahallemizde karşıladık. Hemşerilerimizin sorun ve taleplerini dinleyerek, yaralarımızı bir an önce sarma noktasında görüş alış verişinde bulunduk.  https://t.co/7NQBZDdBMf",tr,"[{'screen_name': 'meral_aksener', 'name': 'meral akşener', 'id': '590346965'}]",[],"['https://pbs.twimg.com/media/E9E1G2xWEAIlKZL.jpg', 'https://pbs.twimg.com/media/E9E1G24XEAQAybW.jpg', 'https://pbs.twimg.com/media/E9E1G2yWQAI_fOy.jpg', 'https://pbs.twimg.com/media/E9E1G35XIAIAE7D.jpg']",2,4,35,['gökbel'],[],https://twitter.com/MuhammetTokat48/status/1427980955730522116,False,,1,https://pbs.twimg.com/media/E9E1G2xWEAIlKZL.jpg,,,,,,,[],,,,
1427979717534232581,1427640038766956544,2021-08-18 16:04:29 Turkey Standard Time,2021-08-18,16:04:29,+0300,2644055331,ertackocaturk_,Ertaç KOCATÜRK,,"@iyiparti @MDervisogluTR Evet tepki vermek güzel ama, geçmişte servis şöförleri, o soğan döken vatandaş gibi baskıyı görünce A Haber e çıkıp özür diliyorum demesinler! Her tehdide boyun eğerek hep başa döneriz. Dik dur! Her daim gelecek bizimdir...",tr,[],[],[],0,0,0,[],[],https://twitter.com/ErtacKocaturk_/status/1427979717534232581,False,,0,,,,,,,,"[{'screen_name': 'iyiparti', 'name': 'İYİ Parti', 'id': '902503200728731649'}, {'screen_name': 'MDervisogluTR', 'name': 'Müsavat Dervişoğlu', 'id': '975688381974884353'}]",,,,
1427976931493007368,1427976931493007368,2021-08-18 15:53:25 Turkey Standard Time,2021-08-18,15:53:25,+0300,1076277722,kmlsubasi,kemal subaşı,,@iyiparti,und,[],[],[],0,0,0,[],[],https://twitter.com/kmlsubasi/status/1427976931493007368,False,https://twitter.com/mehmetarass01/status/1427976372979445760,0,,,,,,,,[],,,,
